-1000,-900,-800,-700,-600,-500,-400,-300,-200,-100,0
-1000,108859,101172,94515.6,88859.4,84296.9,80859.4,78578.1,77546.9,77734.4,79046.9,81328.1
-900,96265.6,88453.1,81546.9,75640.6,70734.4,66890.6,64171.9,62640.6,62328.1,63234.4,65203.1
-800,85484.4,77546.9,70515.6,64390.6,59203.1,55046.9,51921.9,49953.1,49171.9,49609.4,51203.1
-700,76328.1,68328.1,61171.9,54890.6,49515.6,45078.1,41640.6,39234.4,38015.6,38015.6,39234.4
-600,68703.1,60640.6,53421.9,47046.9,41515.6,36859.4,33109.4,30390.6,28765.6,28328.1,29171.9
-500,62453.1,54359.4,47078.1,40640.6,34984.4,30171.9,26203.1,23203.1,21203.1,20390.6,20828.1
-400,57453.1,49359.4,42078.1,35546.9,29828.1,24890.6,20765.6,17484.4,15203.1,14015.6,14109.4
-300,53671.9,45578.1,38265.6,31703.1,25921.9,20890.6,16609.4,13140.6,10578.1,9046.88,8828.12
-200,51015.6,42921.9,35609.4,29046.9,23203.1,18078.1,13671.9,10046.9,7203.12,5328.12,4796.88
-100,49453.1,41359.4,34046.9,27453.1,21578.1,16421.9,11953.1,8171.88,5078.12,2828.12,1984.38
0,48921.9,40859.4,33515.6,26921.9,21046.9,15859.4,11359.4,7515.62,4359.38,1890.62,1921.88